"adult_cat","count_1","arts_cat","count_2","business_cat","count_3","comp_cat","count_4","games_cat","count_5","health_cat","count_6","home_cat","count_7","kids_teens_cat","count_8","news_cat","count_9","recre_cat","count_10","ref_cat","count_11","reg_cat","count_12","science_cat","count_13","shop_cat","count_14","soc_cat","count_15","sport_cat","count_16","world_cat","count_17"
"None",0,"Humanities",30,"Environment ",1369,"Hacking ",85,"Tile Games ",26,"Pharmacy ",528,"None",0,"None",0,"Weather ",91,"Nudism ",457,"Thesauri ",10,"None",0,"Physics ",1270,"Music ",1416,"Philanthropy ",2165,"Events ",177,"Eesti ",911
"None",0,"Illustration",1277,"Financial Services ",9746,"Hardware ",3575,"Trading Card Games ",90,"Products and Shopping ",0,"None",0,"None",0,"Weblogs ",53,"Outdoors ",9945,"Time ",30,"None",0,"Publications ",127,"Niche ",479,"Philosophy ",613,"Extreme Sports ",58,"Español ",85495
"None",0,"Literature",4301,"Food and Related Products ",5068,"History ",33,"Video Games ",5571,"Professions ",749,"None",0,"None",0,"None",0,"Parties ",4,"World Records ",10,"None",0,"Reference ",169,"Office Products ",518,"Politics ",1206,"Fantasy ",217,"Esperanto ",733
"None",0,"Magazines and E-zines",54,"Healthcare ",4021,"Home Automation ",53,"Yard, Deck, and Table Games ",55,"Public Health and Safety ",1497,"None",0,"None",0,"None",0,"Pets ",9529,"None",0,"None",0,"Research Groups and Centers ",39,"Pets ",1438,"Relationships ",1660,"Fencing ",326,"Euskara ",610
"None",0,"Movies",3121,"Hospitality ",2089,"Human-Computer Interaction ",194,"None",0,"Regional ",0,"None",0,"None",0,"None",0,"Picture Ratings ",30,"None",0,"None",0,"Science in Society ",318,"Photography ",415,"Religion and Spirituality ",46975,"Flying Discs ",315,"Français ",151321
"None",0,"Music",23961,"Human Resources ",568,"Internet ",13451,"None",0,"Reproductive Health ",882,"None",0,"None",0,"None",0,"Radio ",1121,"None",0,"None",0,"Search Engines ",12,"Publications ",2130,"Sexuality ",269,"Footbag ",4,"Frysk ",24
"None",0,"News and Media",4,"Industrial Goods and Services ",15863,"Intranet ",18,"None",0,"Resources ",50,"None",0,"None",0,"None",0,"Roads and Highways ",391,"None",0,"None",0,"Social Sciences ",6107,"Recreation ",3378,"Subcultures ",394,"Football ",1951,"Furlan ",42
"None",0,"Online Writing",1169,"Information Services ",52,"Mailing Lists ",4,"None",0,"Search Engines ",4,"None",0,"None",0,"None",0,"Scouting ",1910,"None",0,"None",0,"Software ( , )",107,"None",0,"Support Groups ",70,"Gaelic ",162,"Føroyskt ",38
"None",0,"Organizations",300,"Information Technology ",679,"Mobile Computing ",303,"None",0,"Senior Health ",397,"None",0,"None",0,"None",0,"Theme Parks ",326,"None",0,"None",0,"Technology ",4602,"None",0,"Transgendered ",221,"Goalball ",2,"Gaeilge ",44
"None",0,"People",944,"International Business and Trade ",547,"Multimedia ",1349,"None",0,"Senses ",184,"None",0,"None",0,"None",0,"Tobacco ",67,"None",0,"None",0,"None",0,"None",0,"Work ",207,"Golf ",4795,"Galego ",3035
"None",0,"Performing Arts",9033,"Investing ",3221,"News and Media ",103,"None",0,"Services ",15,"None",0,"None",0,"None",0,"Trains and Railroads ",516,"None",0,"None",0,"None",0,"None",0,"None",0,"Greyhound Racing ",52,"Greek ",4098
"None",0,"Periods and Movements",2,"Major Companies ",16,"Open Source ",359,"None",0,"Specific Substances ",28,"None",0,"None",0,"None",0,"Travel ",4761,"None",0,"None",0,"None",0,"None",0,"None",0,"Gymnastics ",369,"Gujarati ",51
"None",0,"Personal Pages",6,"Management ",1943,"Organizations ",54,"None",0,"Support Groups ",143,"None",0,"None",0,"None",0,"Whips ",2,"None",0,"None",0,"None",0,"None",0,"None",0,"Handball ",10,"Gàidhlig ",21
"None",0,"Photography",2085,"Marketing and Advertising ",4499,"Parallel Computing ",70,"None",0,"Teen Health ",22,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Hockey ",1258,"Hebrew ",4467
"None",0,"Radio",1440,"Materials",1575,"Performance and Capacity ",17,"None",0,"Weight Loss ",133,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Informal Sports ",33,"Hindi ",577
"None",0,"Regional",0,"Mining and Drilling",419,"Programming ",4919,"None",0,"Women's Health ",112,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Jai Alai ",5,"Hrvatski ",2958
"None",0,"Television",2369,"News and Media",148,"Robotics ",415,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Kabbadi ",4,"Interlingua ",33
"None",0,"Video",139,"Opportunities ",1215,"Security ",1305,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Korfball ",30,"Italiano ",111205
"None",0,"Visual Arts",10053,"Publishing and Printing ",3832,"Shopping ",13,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Lacrosse ",193,"Japanese ",106747
"None",0,"Web Rings",0,"Real Estate ",1436,"Software ",14950,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Laser Games ",59,"Kannada ",18
"None",0,"Weblogs",17,"Regional ",0,"Speech Technology ",250,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Lumberjack ",9,"Kaszëbsczi ",8
"None",0,"Writers Resources",1529,"Resources ",44,"Supercomputing ",18,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Martial Arts ",2940,"Kazakh ",42
"None",0,"None",0,"Retail Trade ",1069,"Systems ",1005,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Motorsports ",2626,"Kiswahili ",8
"None",0,"None",0,"Small Business ",630,"Usenet ",109,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Multi-Sports ",204,"Korean ",2096
"None",0,"None",0,"Telecommunications ",3607,"Virtual Reality ",214,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Netball ",56,"Kurdî ",132
"None",0,"None",0,"Textiles and Nonwovens ",11772,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Officiating ",9,"Kyrgyz ",73
"None",0,"None",0,"Transportation and Logistics ",6016,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Organizations ",25,"Latviski ",1722
"None",0,"None",0,"Wholesale Trade ",102,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Orienteering ",32,"Lietuviu ",3880
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Paddleball ",18,"Lingua Latina ",7
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Paintball ",289,"Lëtzebuergesch ",13
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"People ",49,"Magyar ",9181
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Pesäpallo ",0,"Makedonski ",146
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Petanque ",16,"Marathi ",51
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Professional ",0,"Nederlands ",64718
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Racquetball ",48,"Nordfriisk ",12
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Resources ",119,"Norsk ",6909
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Rodeo ",165,"O'zbekcha ",204
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Rope Skipping ",23,"Occitan ",34
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Rounders ",3,"Ossetian ",4
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Running ",1208,"Persian ",980
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Sepak Takraw ",6,"Polski ",49547
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Skateboarding ",172,"Português ",10502
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Skating ",572,"Punjabi Gurmukhi ",25
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Soccer ",5103,"Româna ",11715
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Softball ",170,"Rumantsch ",46
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Software ",22,"Russian ",101473
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Squash ",179,"Sardu ",45
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Strength Sports ",352,"Seeltersk ",1
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Table Tennis ",73,"Shqip ",228
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Tchoukball ",4,"Sicilianu ",11
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Team Handball ",24,"Sinhala ",75
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Team Spirit ",13,"Slovensko ",769
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Tennis ",297,"Slovensky ",5538
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Track and Field ",190,"Srpski ",2140
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Volleyball ",277,"Suomi ",5726
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Walking ",29,"Svenska ",15269
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Water Sports ",2519,"Tagalog ",14
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Winter Sports ",1500,"Taiwanese ",15
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Women ",7,"Tamil ",206
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Wrestling ",260,"Tatarça ",258
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Youth and High School ",17,"Telugu ",90
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Thai ",3373
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Türkmençe ",46
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Türkçe ",49252
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Ukrainian ",7953
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Urdu ",44
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Uyghurche ",34
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Vietnamese ",776
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Íslenska ",260
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"Cesky ",17798
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0
"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0,"None",0
